country,year,enscore,enero91v,ccii,gwe,gwghg
germany,2014,60.88202689,561.3220488,0.195597396,0.17383254,0.50651172
germany,2015,60.91192312,620.3054358,0.175471054,0.292709189,0.597271141
germany,2016,62.81062536,682.4694408,0.320623742,0.13351158,0.691936353
germany,2017,59.35378939,858.7594477,0.107271196,0.326335827,0.509096447
germany,2018,57.41884973,995.8930496,0.414301401,0.259454854,0.523162021
germany,2019,60.41870706,1445.807904,0.537817831,0.422223148,0.467078998
germany,2020,62.73283323,1754.364998,0.281583727,0.145684885,0.22333521
germany,2021,62.93258597,1905.408409,0.740817163,0.772565852,0.785880015
germany,2022,64.95676471,1540.953972,0.390840829,0.244208734,0.348450102
greece,2011,76.84833383,25.65666637,-0.32588062,-0.531383386,-0.33164343
greece,2012,73.09,32.53,-0.13415197,0.543449037,-0.049656634
greece,2013,73.741668,44.31500075,-0.58290964,-0.141477502,-0.103952659
greece,2014,76.79500183,43.46666733,0.20009221,-0.139832461,0.171415484
greece,2015,77.53333167,52.2550005,0.1282838,0.254829559,0.257591786
greece,2016,80.76666383,115.622503,0.05185907,-0.120328609,0.13670721
greece,2017,76.878571,649.9140224,0.21021681,0.330138991,0.156247242
greece,2018,72.19571414,500.0383486,0.310081228,0.96616695,0.158033544
greece,2019,78.94999833,425.0816648,0.448970768,-0.018391515,0.214034361
greece,2020,82.57833483,901.1349667,0.539308138,0.243742818,0.788591361
greece,2021,83.0500005,703.8050002,0.728142883,0.784882703,0.453103763
greece,2022,84.473334,4727.778285,0.654819439,0.399625278,1.221884015
guernsey,2011,44.2749995,42.610001,1.1960057,0.73411894,1.5992872
guernsey,2012,37.879999,49.0050015,1.1741644,2.5066507,1.2197193
guernsey,2013,32.3199995,50.0900005,-0.58290962,0.40499988,0.15990256
guernsey,2014,35.9400005,47.295,-0.490573087,-0.76319605,-0.27885121
guernsey,2015,26.40333334,43.9500005,-0.1773123,0.74546975,0.24986815
guernsey,2016,32.97999967,44.4449995,0.112915373,-0.606603667,0.65392089
